Date,Close
01/12/2018,1.143995
01/01/2019,1.148765
01/02/2019,1.138019
01/03/2019,1.123305
01/04/2019,1.118518
01/05/2019,1.113115
01/06/2019,1.139095
01/07/2019,1.115797
01/08/2019,1.1012
01/09/2019,1.094271
01/10/2019,1.115449
01/11/2019,1.102
01/12/2019,1.12023
01/01/2020,1.102913
01/02/2020,1.103
01/03/2020,1.103047
01/04/2020,1.087725
01/05/2020,1.111
01/06/2020,1.12472
01/07/2020,1.187225
01/08/2020,1.191824
01/09/2020,1.174205
01/10/2020,1.167679
01/11/2020,1.197146
01/12/2020,1.22999
01/01/2021,1.2139
01/02/2021,1.207361
01/03/2021,1.17236
01/04/2021,1.212709
01/05/2021,1.219007
01/06/2021,1.190193
01/07/2021,1.18678
01/08/2021,1.17969
01/09/2021,1.16016
01/10/2021,1.156136
01/11/2021,1.129344
01/12/2021,1.132503
01/01/2022,1.115237
01/02/2022,1.118105
01/03/2022,1.116184
01/04/2022,1.05463
01/05/2022,1.077354
01/06/2022,1.044659
01/07/2022,1.022704
01/08/2022,1.002506
01/09/2022,0.982956
01/10/2022,0.9955
01/11/2022,1.03245
01/12/2022,1.072846
01/01/2023,1.085069
01/02/2023,1.061121
01/03/2023,1.090465
01/04/2023,1.112842
01/05/2023,1.073307
01/06/2023,1.086803
01/07/2023,1.102426
01/08/2023,1.093255
01/09/2023,1.058761
01/10/2023,1.061504
01/11/2023,1.071042
10/11/2023,1.068947
01/11/2023,1.078
01/12/2023,1.087
01/01/2024,1.088
01/02/2024,1.061
01/03/2024,1.046
01/04/2024,1.054
01/05/2024,1.076
01/06/2024,1.044
01/07/2024,1.061
01/08/2024,1.087
01/09/2024,1.059
01/10/2024,1.074
01/11/2024,1.104
01/12/2024,1.137
