Date,Close
01/12/2018,37.85014
01/01/2019,39.937737
01/02/2019,41.547813
01/03/2019,45.774494
01/04/2019,48.357826
01/05/2019,42.188698
01/06/2019,47.878792
01/07/2019,51.536465
01/08/2019,50.496262
01/09/2019,54.386402
01/10/2019,60.406128
01/11/2019,64.896042
01/12/2019,71.520828
01/01/2020,75.383644
01/02/2020,66.57901
01/03/2020,62.08136
01/04/2020,71.72718
01/05/2020,77.620613
01/06/2020,89.30191
01/07/2020,104.048477
01/08/2020,126.354393
01/09/2020,113.604187
01/10/2020,106.78656
01/11/2020,116.782478
01/12/2020,130.387253
01/01/2021,129.669891
01/02/2021,119.155586
01/03/2021,120.209518
01/04/2021,129.371597
01/05/2021,122.630432
01/06/2021,135.013168
01/07/2021,143.786652
01/08/2021,149.671814
01/09/2021,139.697647
01/10/2021,147.891937
01/11/2021,163.194473
01/12/2021,175.564056
01/01/2022,172.805557
01/02/2022,163.254684
01/03/2022,172.857452
01/04/2022,156.067657
01/05/2022,147.3461
01/06/2022,135.5466
01/07/2022,161.11525
01/08/2022,155.870667
01/09/2022,137.204208
01/10/2022,152.235138
01/11/2022,146.963394
01/12/2022,129.207779
01/01/2023,143.487961
01/02/2023,146.590622
01/03/2023,164.233765
01/04/2023,168.994476
01/05/2023,176.533875
01/06/2023,193.453568
01/07/2023,195.926956
01/08/2023,187.369797
01/09/2023,170.984741
01/10/2023,170.545319
01/11/2023,184.556854
13/11/2023,184.800003
