Date,Close
01/12/2018,80.992142
01/01/2019,85.001228
01/02/2019,87.520744
01/03/2019,92.40519
01/04/2019,94.563248
01/05/2019,92.037956
01/06/2019,98.065903
01/07/2019,105.56955
01/08/2019,108.224556
01/09/2019,111.960144
01/10/2019,112.077179
01/11/2019,110.573654
01/12/2019,113.146378
01/01/2020,112.892723
01/02/2020,103.184006
01/03/2020,100.240578
01/04/2020,107.412346
01/05/2020,106.339813
01/06/2020,109.688179
01/07/2020,120.283615
01/08/2020,127.69854
01/09/2020,128.307816
01/10/2020,126.563065
01/11/2020,128.908813
01/12/2020,129.15947
01/01/2021,119.013481
01/02/2021,115.360832
01/03/2021,126.473854
01/04/2021,124.596794
01/05/2021,126.737961
01/06/2021,126.813133
01/07/2021,133.673981
01/08/2021,134.666046
01/09/2021,132.216553
01/10/2021,135.23349
01/11/2021,137.584915
01/12/2021,155.665665
01/01/2022,152.687088
01/02/2022,149.148727
01/03/2022,146.192322
01/04/2022,153.607162
01/05/2022,142.278854
01/06/2022,138.343765
01/07/2022,133.648605
01/08/2022,133.57692
01/09/2022,122.256668
01/10/2022,130.410339
01/11/2022,145.467117
01/12/2022,147.807709
01/01/2023,138.85498
01/02/2023,134.996124
01/03/2023,145.918686
01/04/2023,153.465363
01/05/2023,140.719604
01/06/2023,149.844162
01/07/2023,154.347183
01/08/2023,153.371964
01/09/2023,144.94516
01/10/2023,149.089005
01/11/2023,151.410004
